Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
-11.530403,19.508745,-9.7690935,24.67745,259.84270833333335,27.882837,57.564777,405.25986,37.586914,58.56487,0.0,413.16348,0.3189023,2023-09-16 20:13:30
-7.762278,26.940807,-5.202995,28.515455,259.8434027777778,30.417345,60.276794,416.46762,32.769154,39.63781,0.0,419.73056,0.2856726,2023-09-16 20:14:30
-12.479236,22.908161,-9.501013,27.763004,259.8440972222222,30.831701,61.32184,384.34604,29.986568,42.55722,0.0,388.261,0.3161568,2023-09-16 20:15:30
-9.281991,20.444345,-17.013973,28.17094,259.84479166666665,29.847864,60.74882,407.54718,22.4733,-6.7707686,0.0,408.3989,0.2917386,2023-09-16 20:16:30
-8.253296,18.06288,-20.712746,28.694988,259.8454861111111,29.070272,57.745205,402.56393,11.652274,-24.109009,0.0,403.48245,0.24744372,2023-09-16 20:17:30
-7.2901835,16.34547,-22.424263,28.690916,259.8461805555556,30.748367,62.081833,408.52216,0.79697025,-32.53855,0.0,409.94672,0.3026007,2023-09-16 20:18:30
-13.112491,14.70791,-19.726715,27.881954,259.846875,31.230919,64.646355,398.01492,5.2199926,-20.481731,0.0,398.71863,0.3528857,2023-09-16 20:19:30
-19.024725,18.916925,-8.220341,28.06001,259.84756944444445,26.481174,50.30067,382.06418,30.749016,29.698776,0.0,384.64905,0.17886144,2023-09-16 20:20:30
-17.423449,14.517117,-14.982,27.180573,259.8482638888889,26.302904,52.821957,388.22635,-13.113401,-20.522804,0.0,389.30807,0.20879644,2023-09-16 20:21:30
-14.115015,7.100276,-24.785027,29.392942,259.8489583333333,30.534075,59.343895,398.75818,-34.800205,-43.983494,0.0,402.70828,0.26161245,2023-09-16 20:22:30
-14.8717375,10.197991,-22.516224,28.846975,259.8496527777778,31.745348,66.54646,390.09,9.749986,-5.196986,0.0,390.50333,0.35508886,2023-09-16 20:23:30
-12.986832,7.60598,-24.829868,29.034998,259.85034722222224,27.582914,51.623417,395.1938,-33.115482,-36.81007,0.0,398.298,0.18327266,2023-09-16 20:24:30
-12.312826,7.230075,-25.650206,29.356647,259.8510416666667,27.345936,50.48555,398.5085,-15.392978,-30.630795,0.0,400.02646,0.16998933,2023-09-16 20:25:30
-9.596466,4.9330378,-28.695097,30.656738,259.8517361111111,29.017443,53.181824,412.96103,-14.332091,-40.699924,0.0,415.60895,0.18354447,2023-09-16 20:26:30
-13.132092,4.3598385,-27.635471,30.905975,259.85243055555554,35.101303,57.117794,400.1729,33.42034,-38.153805,0.4661935643384922,403.3748,0.25199318,2023-09-16 20:27:30
-14.507633,4.0382476,-27.05828,30.966585,259.853125,34.479248,55.368725,391.53604,15.569025,-33.851433,0.0,393.3494,0.23169029,2023-09-16 20:28:30
-13.534522,5.89127,-26.853083,30.642754,259.85381944444447,32.594547,54.54224,394.06046,36.24206,-29.497545,0.0,396.82468,0.21705158,2023-09-16 20:29:30
