ddoy B Bx By Bz Np Vth Vsw
273.415 7.5352 2.54697 -1.60368 6.90096 11.0445 24.8177 359.125
273.416 7.85996 3.23605 -1.48423 6.9917 9.92734 23.0056 357.907
273.417 8.04864 2.30622 -3.72597 6.70468 10.436 19.0484 357.347
273.418 8.10555 1.63138 -4.23862 6.70396 10.4161 18.8522 362.248
273.419 8.12717 1.73977 -4.36013 6.62722 10.6268 19.4369 359.877
273.42 8.0708 1.95734 -4.25376 6.56164 10.9117 20.2274 356.672
273.421 8.09656 1.97366 -4.56206 6.3867 10.8352 20.01 356.597
273.423 8.08822 1.96614 -4.73842 6.24362 11.0115 20.2228 356.259
273.424 8.07959 1.99332 -4.93696 6.07278 11.2372 20.2885 355.506
273.425 8.00711 1.55815 -4.72556 6.26352 11.9969 22.7592 356.599
273.426 8.01856 1.50069 -4.70493 6.31305 11.3598 20.3491 356.082
273.427 8.03649 1.44295 -4.74541 6.31708 11.106 19.2374 358.008
273.428 8.10885 1.1699 -4.7966 6.42391 9.91453 19.4591 353.735
273.429 8.10427 1.01613 -5.41827 5.93105 11.0428 19.7742 349.108
273.43 8.02137 1.25389 -5.66512 5.48428 11.5104 21.0269 353.31
273.432 8.11919 2.55028 -4.41067 6.17346 11.2711 20.995 356.158
