Br,Bt,Bn,B,ddoy,Vr,Vt,Vn,Np,Tp,Vsw,Beta_p,date
-22.581556,-4.1328177,18.47386,29.466768,67.60033564814815,271.42657,-10.2104225,-4.865385,32.432507,4.9678135,271.6637,0.074719116,2022-03-08 14:24:29.999996
-22.577818,-3.4508145,18.091059,29.136787,67.60104166666666,269.97525,-8.600537,-6.69533,31.89387,5.01467,270.19696,0.07586075,2022-03-08 14:25:30.000002
-23.06515,-3.3539085,17.631777,29.225492,67.60172453703704,270.2829,-9.293636,-3.5081868,29.723204,5.0082827,270.47012,0.07017973,2022-03-08 14:26:29.999999
-22.476921,-4.3165793,17.825191,29.010038,67.60241898148148,273.10013,-4.735664,-6.8204117,30.761484,5.602653,273.23337,0.08246228,2022-03-08 14:27:29.999995
-23.06442,-4.6695743,17.350153,29.236967,67.603125,278.02203,-8.776183,-2.3446565,32.004322,5.8336515,278.18347,0.0879499,2022-03-08 14:28:30.000002
-23.108868,-2.9946332,17.362753,29.05947,67.60380787037037,273.41278,-13.803353,-5.535883,31.972918,5.031408,273.81866,0.076709196,2022-03-08 14:29:29.999998
-23.267097,-3.46521,16.623278,28.804495,67.60451388888889,273.49963,-16.626022,-5.5866885,32.491676,4.988435,274.0959,0.078662336,2022-03-08 14:30:30.000004
-22.37378,-3.1812007,18.045418,28.919598,67.60520833333334,273.4687,-5.5230045,-6.070881,31.34181,4.685232,273.59958,0.070700355,2022-03-08 14:31:30.000001
-23.073576,-3.1457984,17.54588,29.157225,67.6058912037037,271.94412,-9.776525,-6.4277186,31.10929,4.3057575,272.19647,0.06344512,2022-03-08 14:32:29.999997
-22.35667,-4.1917415,18.897556,29.5721,67.60659722222222,278.74783,-7.5096316,-4.8261247,30.777266,5.4747653,278.8939,0.07758579,2022-03-08 14:33:30.000004
-22.882544,-4.6417756,18.621073,29.864716,67.60729166666667,282.7438,-11.678539,-6.0516515,30.33323,6.6166983,283.04974,0.09061376,2022-03-08 14:34:30.000000
-23.70554,-3.0953233,16.950697,29.30631,67.60797453703704,271.15356,-1.3790082,-7.910212,30.026846,4.433346,271.28662,0.062412266,2022-03-08 14:35:29.999997
-21.911863,-5.085624,19.35521,29.6752,67.60868055555555,276.32977,-9.309774,-2.4522903,32.500393,5.130036,276.52133,0.07623821,2022-03-08 14:36:30.000003
-22.48116,-4.243305,18.474098,29.405788,67.60936342592592,278.15903,-9.293872,-5.1698813,33.432518,6.5067787,278.36816,0.10130256,2022-03-08 14:37:29.999999
-22.75078,-5.799563,17.737839,29.425566,67.61005787037037,279.03995,-6.4005995,-2.401978,31.594269,5.5224214,279.1271,0.08114077,2022-03-08 14:38:29.999996
-21.447906,-9.462457,17.706608,29.378134,67.61076388888888,276.3773,-10.982423,-4.331464,32.488457,6.332132,276.62943,0.09598017,2022-03-08 14:39:30.000002
-21.594812,-7.556177,18.087357,29.164778,67.61144675925927,266.7754,-14.692431,1.6218557,38.14347,5.49335,267.2001,0.099195294,2022-03-08 14:40:29.999999
-22.095589,-1.5290053,17.206556,28.046719,67.6121412037037,270.77374,-13.757469,2.5335102,35.107597,5.4095564,271.14056,0.097218655,2022-03-08 14:41:29.999995
-21.718796,-6.832691,18.095352,29.083218,67.61284722222223,273.93665,-11.288281,1.8255786,35.470066,4.7801332,274.17722,0.080717556,2022-03-08 14:42:30.000002
-21.564144,-7.7416306,16.765066,28.39036,67.6135300925926,267.61496,-16.81882,-0.9506129,40.421345,5.1716323,268.1577,0.104435354,2022-03-08 14:43:29.999998
-23.278881,-5.849493,15.918271,28.801289,67.61422453703703,268.73892,-14.598434,0.37606674,42.181843,5.178878,269.1362,0.10604454,2022-03-08 14:44:29.999995
